register,address,chip,chipset_variant,chipset_revisions,width_bits,access,io,interrupt,relationship_to_other_chips,notes,manual_nodes
SPR5DATB,0xDFF16E,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR6POS,0xDFF170,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR6CTL,0xDFF172,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR6DATA,0xDFF174,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR6DATB,0xDFF176,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR7POS,0xDFF178,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR7CTL,0xDFF17A,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR7DATA,0xDFF17C,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
SPR7DATB,0xDFF17E,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes) (common),16,rw,chip-register,,Agnus DMA,Sprite pointers/data; even addresses; DMA fetch during hblank.,node003F
COLOR00,0xDFF180,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR01,0xDFF182,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR02,0xDFF184,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR03,0xDFF186,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR04,0xDFF188,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR05,0xDFF18A,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR06,0xDFF18C,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR07,0xDFF18E,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR08,0xDFF190,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR09,0xDFF192,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR10,0xDFF194,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR11,0xDFF196,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR12,0xDFF198,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR13,0xDFF19A,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR14,0xDFF19C,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR15,0xDFF19E,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR16,0xDFF1A0,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR17,0xDFF1A2,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR18,0xDFF1A4,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR19,0xDFF1A6,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR20,0xDFF1A8,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR21,0xDFF1AA,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR22,0xDFF1AC,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR23,0xDFF1AE,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR24,0xDFF1B0,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR25,0xDFF1B2,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR26,0xDFF1B4,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR27,0xDFF1B6,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR28,0xDFF1B8,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR29,0xDFF1BA,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR30,0xDFF1BC,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
COLOR31,0xDFF1BE,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),OCS/ECS 12-bit palette; AGA/Lisa uses 24-bit palette and extended color registers.,16,rw,chip-register,,Denise palette,Palette color registers; write-only; 12-bit RGB (OCS/ECS).,node0036
DENISEID,0xDFF07C,denise,OCS Denise / Super Denise; AGA Lisa (extended palette/bitplanes),ECS/AGA (Lisa reports AGA revision),16,rw,chip-register,,,Chip revision ID (Denise/Super Denise/Lisa).,node0060
