register,address,chip,chipset_variant,chipset_revisions,width_bits,access,io,interrupt,relationship_to_other_chips,notes,manual_nodes
AUD3VOL,0xDFF0D8,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD3,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
AUD3DAT,0xDFF0DA,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_AUD3,Paula audio DMA via Agnus,Audio channel; length in words; period >=123 PAL/124 NTSC; even addresses.,node00DB;node00E0;node00F2
DSKDATR,0xDFF008,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_DSKBLK,Paula disk DMA via Agnus,Disk DMA; length in words; write bit sets direction.,node0030;node0031;node0032
DSKBYTR,0xDFF01A,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_DSKBLK,Paula disk DMA via Agnus,Disk DMA; length in words; write bit sets direction.,node0030;node0031;node0032
DSKPTH,0xDFF020,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS/AGA; ECS/AGA widen high address bits (5 vs 3).,16,rw,chip-register,INTF_DSKBLK,Paula disk DMA via Agnus,Disk DMA; length in words; write bit sets direction.,node0030;node0031;node0032
DSKPTL,0xDFF022,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_DSKBLK,Paula disk DMA via Agnus,Disk DMA; length in words; write bit sets direction.,node0030;node0031;node0032
DSKLEN,0xDFF024,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_DSKBLK,Paula disk DMA via Agnus,Disk DMA; length in words; write bit sets direction.,node0030;node0031;node0032
DSKDAT,0xDFF026,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_DSKBLK,Paula disk DMA via Agnus,Disk DMA; length in words; write bit sets direction.,node0030;node0031;node0032
DSKSYNC,0xDFF07E,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,INTF_DSKBLK,Paula disk DMA via Agnus,Disk DMA; length in words; write bit sets direction.,node0030;node0031;node0032
SERDATR,0xDFF018,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Serial port; period/control or data register.,node003D;node01A3
SERDAT,0xDFF030,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Serial port; period/control or data register.,node003D;node01A3
SERPER,0xDFF032,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Serial port; period/control or data register.,node003D;node01A3
POT0DAT,0xDFF012,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Proportional controllers; write POTGO to start counters; read during vblank; shared with mouse buttons/light pen.,node003B;node0186;node0187;node018B
POT1DAT,0xDFF014,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Proportional controllers; write POTGO to start counters; read during vblank; shared with mouse buttons/light pen.,node003B;node0186;node0187;node018B
POTGOR,0xDFF016,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Proportional controllers; write POTGO to start counters; read during vblank; shared with mouse buttons/light pen.,node003B;node0186;node0187;node018B
POTGO,0xDFF034,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Proportional controllers; write POTGO to start counters; read during vblank; shared with mouse buttons/light pen.,node003B;node0186;node0187;node018B
INTENAR,0xDFF01C,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Interrupt enable; set/clear style; master bit 15.,node0036
INTREQR,0xDFF01E,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Interrupt request; set/clear style; must clear explicitly.,node0037
INTENA,0xDFF09A,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Interrupt enable; set/clear style; master bit 15.,node0036
INTREQ,0xDFF09C,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Interrupt request; set/clear style; must clear explicitly.,node0037
ADKCONR,0xDFF010,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Audio/disk control; set/clear style.,node0036
ADKCON,0xDFF09E,paula,OCS/ECS Paula; AA/AGA Paula (same register set),OCS/ECS Paula; AA/AGA Paula (same register set) (common),16,rw,chip-register,,,Audio/disk control; set/clear style.,node0036
