register,address,chip,chipset_variant,chipset_revisions,width_bits,access,io,interrupt,relationship_to_other_chips,notes,manual_nodes
COPCON,0xDFF02E,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",OCS/ECS/AGA (CDANG only on ECS/AGA),16,rw,chip-register,INTF_COPPER,Copper via Agnus,Copper pointer/control; even addresses; DMA-controlled.,node0056;node004B
COP1LCH,0xDFF080,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,INTF_COPPER,Copper via Agnus,Copper pointer/control; even addresses; DMA-controlled.,node0056;node004B
COP1LCL,0xDFF082,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,INTF_COPPER,Copper via Agnus,Copper pointer/control; even addresses; DMA-controlled.,node0056;node004B
COP2LCH,0xDFF084,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,INTF_COPPER,Copper via Agnus,Copper pointer/control; even addresses; DMA-controlled.,node0056;node004B
COP2LCL,0xDFF086,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,INTF_COPPER,Copper via Agnus,Copper pointer/control; even addresses; DMA-controlled.,node0056;node004B
COPJMP1,0xDFF088,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,INTF_COPPER,Copper via Agnus,Copper pointer/control; even addresses; DMA-controlled.,node0056;node004B
COPJMP2,0xDFF08A,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,INTF_COPPER,Copper via Agnus,Copper pointer/control; even addresses; DMA-controlled.,node0056;node004B
COPINS,0xDFF08C,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,INTF_COPPER,Copper via Agnus,Copper pointer/control; even addresses; DMA-controlled.,node0056;node004B
BPL1PTH,0xDFF0E0,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL1PTL,0xDFF0E2,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL2PTH,0xDFF0E4,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL2PTL,0xDFF0E6,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL3PTH,0xDFF0E8,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL3PTL,0xDFF0EA,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL4PTH,0xDFF0EC,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL4PTL,0xDFF0EE,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL5PTH,0xDFF0F0,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL5PTL,0xDFF0F2,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL6PTH,0xDFF0F4,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL6PTL,0xDFF0F6,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL1MOD,0xDFF108,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL2MOD,0xDFF10A,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPLCON0,0xDFF100,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",OCS/ECS/AGA; AGA adds 8-bitplanes/HAM8/extra bits.,16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPLCON1,0xDFF102,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPLCON2,0xDFF104,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",OCS/ECS; AGA extends priority bits for 8 bitplanes.,16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPLCON3,0xDFF106,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA (extra color/bitplane control),16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL1DAT,0xDFF110,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL2DAT,0xDFF112,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL3DAT,0xDFF114,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL4DAT,0xDFF116,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL5DAT,0xDFF118,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
BPL6DAT,0xDFF11A,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,Agnus DMA,Bitplane pointers/modulos; even addresses; DMA fetch (ECS: up to 6 planes; AGA: up to 8).,node0036;node004C
HTOTAL,0xDFF1C0,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node004C;node004D
HSSTOP,0xDFF1C2,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node004C;node004D
HBSTRT,0xDFF1C4,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node004C;node004D
HBSTOP,0xDFF1C6,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node004C;node004D
VTOTAL,0xDFF1C8,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node015F;node004B;node004D
VSSTOP,0xDFF1CA,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node015F;node004B;node004D
VBSTRT,0xDFF1CC,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node015F;node004B;node004D
VBSTOP,0xDFF1CE,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node015F;node004B;node004D
BEAMCON0,0xDFF1DC,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","ECS/AGA (variable beam counter, SHRES/PAL bits)",16,rw,chip-register,,,"Beam control (ECS/AGA): PAL bit, super-hires, variable beam counter enable.",node004B
HSSTRT,0xDFF1DE,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node004C;node004D
VSSTRT,0xDFF1E0,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node015F;node004B;node004D
HCENTER,0xDFF1E2,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,ECS/AGA beam-timing registers; use with BEAMCON0 VARBEAMEN/VARHSY/VARVSY to adjust sync/blanking.,node004C
DIWHIGH,0xDFF1E4,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)",ECS/AGA only,16,rw,chip-register,,,Display window start/stop; lowres coords; even addresses; interlace/overscan interactions.,node0083;node0071
REFPTR,0xDFF028,agnus,"OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes)","OCS/ECS (8371/8372A), Fatter Agnus 8375 (2MB); AGA Alice (2MB, 8 bitplanes) (common)",16,rw,chip-register,,,DRAM refresh pointer; driven by Agnus refresh logic.,node0060
